学工号,姓名,交易额,交易时间,商户名称
2021****86,赖**,12.4,2022/11/29 11:52,百味佳副食一组
2021****86,赖**,4.7,2022/11/29 7:54,百味佳副食一组
2021****86,赖**,6.7,2022/11/28 16:40,淘乐学苑水果
2021****86,赖**,13,2022/11/28 16:15,美食林老上客砂锅
2021****86,赖**,13,2022/11/28 11:52,民族餐厅铁板料理
2021****86,赖**,9.4,2022/11/27 11:49,百味佳副食一组
2021****86,赖**,15,2022/11/26 17:28,美食林陕西刀削面(川无界)
2021****86,赖**,12.8,2022/11/26 12:14,阳光小是小简餐
2021****86,赖**,4.7,2022/11/26 8:30,百味佳副食一组
2021****86,赖**,7,2022/11/25 17:58,淘乐学苑水果
2021****86,赖**,20,2022/11/25 17:35,美食林真牛铁板
2021****86,赖**,12.4,2022/11/25 11:50,百味佳副食一组
2021****86,赖**,4.6,2022/11/25 8:04,百味佳副食一组
2021****86,赖**,2,2022/11/24 17:50,学苑食堂副食三组
2021****86,赖**,7,2022/11/24 17:49,淘乐学苑水果
2021****86,赖**,16.28,2022/11/24 17:16,美食林小猪憨尼麻辣烫
2021****86,赖**,12.4,2022/11/24 11:49,百味佳副食一组
2021****86,赖**,5.5,2022/11/24 8:33,百味佳副食一组
2021****86,赖**,16,2022/11/23 17:42,学苑食堂副食三组
2021****86,赖**,10,2022/11/23 11:37,民族餐厅山西饸饹面
2021****86,赖**,4.45,2022/11/23 8:44,百味佳副食一组
2021****86,赖**,7,2022/11/22 18:16,淘乐学苑水果
2021****86,赖**,12.43,2022/11/22 17:50,美食林小猪憨尼麻辣烫
2021****86,赖**,12.4,2022/11/22 11:51,百味佳副食一组
2021****86,赖**,4.25,2022/11/22 7:47,百味佳展销组
2021****86,赖**,7,2022/11/21 17:58,淘乐学苑水果
2021****86,赖**,10,2022/11/21 17:33,美食林真牛铁板
2021****86,赖**,12.4,2022/11/21 11:47,百味佳副食一组
2021****86,赖**,5.1,2022/11/21 8:17,百味佳副食一组
2021****86,赖**,12.4,2022/11/20 11:47,百味佳副食一组
2021****86,赖**,3.5,2022/11/20 8:50,百味佳副食一组
2021****86,赖**,12.4,2022/11/19 11:50,百味佳副食一组
2021****86,赖**,5.1,2022/11/19 8:38,百味佳副食一组
2021****86,赖**,7,2022/11/18 18:07,淘乐学苑水果
2021****86,赖**,11,2022/11/18 17:48,学苑食堂副食三组
2021****86,赖**,12,2022/11/18 11:26,美食林90后串炒饭
2021****86,赖**,5.1,2022/11/18 8:01,百味佳副食一组
2021****86,赖**,16,2022/11/17 11:50,阳光广式猪脚饭
2021****86,赖**,3.35,2022/11/17 8:48,百味佳副食一组
2021****86,赖**,12,2022/11/16 17:57,民族餐厅金家店
2021****86,赖**,10,2022/11/16 11:23,美食林陕西刀削面(罐罐面)
2021****86,赖**,8,2022/11/15 16:52,淘乐学苑水果
2021****86,赖**,16,2022/11/15 16:37,阳光广式猪脚饭
2021****86,赖**,9.4,2022/11/15 12:04,百味佳副食一组
2021****86,赖**,3.5,2022/11/15 7:56,百味佳副食一组
2021****86,赖**,4,2022/11/14 18:07,淘乐学苑水果
2021****86,赖**,10,2022/11/14 17:45,美食林真牛铁板
2021****86,赖**,10.4,2022/11/14 11:52,百味佳副食一组
2021****86,赖**,4.2,2022/11/14 8:32,百味佳副食一组
2021****86,赖**,7,2022/11/13 17:31,淘乐学苑水果
2021****86,赖**,13,2022/11/13 17:15,美食林陕西刀削面(罐罐面)
2021****86,赖**,4.1,2022/11/13 8:20,百味佳副食一组
2021****86,赖**,13.62,2022/11/12 17:02,美食林小猪憨尼麻辣烫
2021****86,赖**,12,2022/11/12 11:53,阳光川蜀源烤鱼
2021****86,赖**,5,2022/11/12 8:29,百味佳副食一组
2021****86,赖**,20,2022/11/11 17:44,学苑食堂副食三组
2021****86,赖**,12.4,2022/11/11 11:35,百味佳副食一组
2021****86,赖**,3.6,2022/11/11 7:31,百味佳副食一组
2021****86,赖**,12.4,2022/11/10 11:43,百味佳副食一组
2021****86,赖**,5.35,2022/11/10 8:27,百味佳副食一组
2021****86,赖**,4.7,2022/11/9 17:50,淘乐学苑水果
2021****86,赖**,10,2022/11/9 17:34,学苑食堂副食三组
2021****86,赖**,13,2022/11/9 11:32,民族餐厅铁板料理
2021****86,赖**,5.2,2022/11/9 7:48,友来副食一组
2021****86,赖**,7,2022/11/8 17:53,淘乐学苑水果
2021****86,赖**,10,2022/11/8 17:34,学苑食堂副食三组
2021****86,赖**,10,2022/11/8 11:47,美食林真牛铁板
2021****86,赖**,2.85,2022/11/8 7:35,百味佳副食一组
2021****86,赖**,7,2022/11/7 17:53,淘乐学苑水果
2021****86,赖**,12,2022/11/7 17:41,美食林90后串炒饭
2021****86,赖**,2.85,2022/11/7 7:27,百味佳副食一组
2021****86,赖**,6,2022/11/6 18:29,淘乐学苑水果
2021****86,赖**,15,2022/11/6 18:13,美食林90后串炒饭
2021****86,赖**,12.2,2022/11/6 11:48,百味佳副食一组
2021****86,赖**,3.2,2022/11/6 8:34,百味佳副食一组
2021****86,赖**,7,2022/11/5 18:12,淘乐学苑水果
2021****86,赖**,10,2022/11/5 18:02,美食林陕西刀削面(罐罐面)
2021****86,赖**,2.85,2022/11/5 8:04,百味佳副食一组
2021****86,赖**,7,2022/11/4 18:05,淘乐学苑水果
2021****86,赖**,13,2022/11/4 17:46,美食林陕西刀削面(罐罐面)
2021****86,赖**,11.5,2022/11/4 11:22,美食林真牛铁板
2021****86,赖**,3.85,2022/11/4 7:46,友来副食一组
2021****86,赖**,12.2,2022/11/3 11:40,百味佳副食一组
2021****86,赖**,4.95,2022/11/3 8:17,友来副食一组
2021****86,赖**,5.5,2022/11/2 18:02,淘乐学苑水果
2021****86,赖**,14,2022/11/2 17:45,学苑食堂铁锅焖面
2021****86,赖**,5,2022/11/2 11:45,淘乐学苑水果
2021****86,赖**,18,2022/11/2 11:24,美食林真牛铁板
2021****86,赖**,4.95,2022/11/2 7:37,友来副食一组
2021****86,赖**,7,2022/11/1 17:50,淘乐学苑水果
2021****86,赖**,12.2,2022/11/1 17:41,百味佳主食二组
2021****86,赖**,5.2,2022/10/31 17:52,淘乐学苑水果
2021****86,赖**,11.8,2022/10/31 17:32,阳光小是小简餐
2021****86,赖**,4.95,2022/10/31 7:38,友来副食一组
2021****86,赖**,7,2022/10/30 18:09,淘乐学苑水果
2021****86,赖**,15,2022/10/30 17:49,阳光川蜀源烤鱼
2021****86,赖**,15,2022/10/30 11:56,民族餐厅金家店
2021****86,赖**,4.95,2022/10/30 8:10,友来副食一组
2021****86,赖**,7,2022/10/29 17:14,淘乐学苑水果
2021****86,赖**,12,2022/10/29 16:59,美食林90后串炒饭
2021****86,赖**,3.85,2022/10/29 8:31,友来副食一组
2021****86,赖**,7,2022/10/28 17:56,淘乐学苑水果
2021****86,赖**,15,2022/10/28 17:34,美食林真牛铁板
2021****86,赖**,3.85,2022/10/28 7:38,友来副食一组
2021****86,赖**,21,2022/10/27 17:08,民族餐厅铁板料理
2021****86,赖**,12.2,2022/10/27 11:51,百味佳副食一组
2021****86,赖**,3.85,2022/10/27 8:13,友来副食一组
2021****86,赖**,13.1,2022/10/26 18:25,民族餐厅旋转小火锅
2021****86,赖**,16,2022/10/26 11:28,民族餐厅铁板料理
2021****86,赖**,10,2022/10/26 10:35,深澜网费对接
2021****86,赖**,4.95,2022/10/26 7:50,友来副食一组
2021****86,赖**,10,2022/10/25 17:53,民族餐厅山西饸饹面
2021****86,赖**,12.2,2022/10/25 11:50,百味佳副食一组
2021****86,赖**,3.35,2022/10/25 7:45,友来副食一组
2021****86,赖**,16,2022/10/24 17:33,民族餐厅铁板料理
2021****86,赖**,18,2022/10/24 11:51,回味斋一餐厅副食一组
2021****86,赖**,5.35,2022/10/24 7:31,友来副食一组
2021****86,赖**,11,2022/10/23 12:00,学苑食堂包子
2021****86,赖**,5,2022/10/22 11:29,淘乐学苑水果
2021****86,赖**,12.58,2022/10/22 11:07,美食林小猪憨尼麻辣烫
2021****86,赖**,4.35,2022/10/22 7:56,友来副食一组
2021****86,赖**,7,2022/10/21 18:00,淘乐学苑水果
2021****86,赖**,10,2022/10/21 17:46,美食林陕西刀削面(罐罐面)
2021****86,赖**,13,2022/10/21 12:27,民族餐厅金家店
2021****86,赖**,5.2,2022/10/21 7:41,友来副食一组
2021****86,赖**,9.6,2022/10/20 17:52,淘乐学苑水果
2021****86,赖**,10,2022/10/20 17:33,美食林真牛铁板
2021****86,赖**,12.2,2022/10/20 11:48,百味佳副食一组
2021****86,赖**,3.85,2022/10/20 8:29,友来副食一组
2021****86,赖**,3.85,2022/10/19 7:15,友来副食一组
2021****86,赖**,10,2022/10/18 17:22,民族餐厅山西饸饹面
2021****86,赖**,12.2,2022/10/18 11:50,百味佳展销组
2021****86,赖**,5.95,2022/10/18 7:38,友来副食一组
2021****86,赖**,10.7,2022/10/17 17:54,淘乐学苑水果
2021****86,赖**,15,2022/10/17 17:35,美食林真牛铁板
2021****86,赖**,9.9,2022/10/17 12:02,回味斋一餐厅副食一组
2021****86,赖**,4.95,2022/10/17 7:20,友来副食一组
2021****86,赖**,10.95,2022/10/16 18:15,美食林小猪憨尼麻辣烫
2021****86,赖**,3.85,2022/10/16 8:16,友来副食一组
2021****86,赖**,11.3,2022/10/15 17:10,淘乐学苑水果
2021****86,赖**,13,2022/10/15 16:47,美食林老上客砂锅
2021****86,赖**,12.3,2022/10/14 17:21,淘乐学苑水果
2021****86,赖**,13,2022/10/14 17:09,美食林陕西刀削面(罐罐面)
2021****86,赖**,10,2022/10/14 11:28,美食林真牛铁板
2021****86,赖**,4.95,2022/10/14 7:42,友来副食一组
2021****86,赖**,7,2022/10/13 17:44,淘乐学苑水果
2021****86,赖**,13,2022/10/13 17:29,美食林陕西刀削面(罐罐面)
2021****86,赖**,9.2,2022/10/13 11:52,百味佳副食一组
2021****86,赖**,3.5,2022/10/13 8:48,友来副食一组
2021****86,赖**,10.1,2022/10/12 17:55,淘乐学苑水果
2021****86,赖**,12,2022/10/12 17:33,民族餐厅金家店
2021****86,赖**,12,2022/10/12 11:17,友来朝鲜风味
2021****86,赖**,3.7,2022/10/12 7:50,友来副食一组
2021****86,赖**,5,2022/10/11 17:36,淘乐学苑水果
2021****86,赖**,10,2022/10/11 17:19,美食林真牛铁板
2021****86,赖**,14,2022/10/11 11:49,百味佳副食一组
